Player,Hands,Result,RakePaid,1kRakeback,5kRakeback,>5kRakeback,Cumulative,winrate,Rbwinrate,rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 585,585,-51.01,105.18,10.518,0,0,10.52,-8.71965812,-6.921367521,0.206234072,0,0,0,0
Player 586,584,-411.11,35.78,3.578,0,0,3.58,-70.39554795,-69.78253425,0.008708132,0,0,0,0
Player 587,583,-459.65,62.66,6.266,0,0,6.27,-78.84219554,-77.76672384,0.013640814,0,0,0,0
Player 588,582,-666.01,50.6,5.06,0,0,5.06,-114.4347079,-113.5652921,0.007597484,0,0,0,0
Player 589,581,-226.87,35.71,3.571,0,0,3.57,-39.04819277,-38.43373494,0.015735884,0,0,0,0
Player 590,580,-139.99,41.67,4.167,0,0,4.17,-24.1362069,-23.41724138,0.029787842,0,0,0,0
Player 591,579,-179.86,68.32,6.832,0,0,6.83,-31.06390328,-29.88428325,0.03797398,0,0,0,0
Player 592,578,-11.2,76.71,7.671,0,0,7.67,-1.937716263,-0.610726644,0.684821429,0,0,0,0
Player 593,576,215.11,55.96,5.596,0,0,5.6,37.34548611,38.31770833,0.026033192,1,1,1,1
Player 594,574,-77.29,33.9,3.39,0,0,3.39,-13.46515679,-12.87456446,0.043860784,0,0,0,0
Player 595,573,-383.91,24.62,2.462,0,0,2.46,-67,-66.57068063,0.006407752,0,0,0,0
Player 596,572,156.41,59.13,5.913,0,0,5.91,27.34440559,28.37762238,0.037785308,1,1,1,1
Player 597,570,-275.28,49,4.9,0,0,4.9,-48.29473684,-47.43508772,0.017800058,0,0,0,0
Player 598,568,-401.64,53.79,5.379,0,0,5.38,-70.71126761,-69.76408451,0.01339508,0,0,0,0
Player 599,567,-170.57,27.43,2.743,0,0,2.74,-30.08289242,-29.59964727,0.016063786,0,0,0,0
Player 600,566,-132.49,39.33,3.933,0,0,3.93,-23.40812721,-22.71378092,0.029662616,0,0,0,0
Player 601,565,-319.64,45.78,4.578,0,0,4.58,-56.57345133,-55.76283186,0.01432862,0,0,0,0
Player 602,563,338.62,142.1,14.21,0,0,14.21,60.14564831,62.669627,0.041964444,1,1,1,1
Player 603,562,260.51,56.75,5.675,0,0,5.68,46.35409253,47.36476868,0.021803386,1,1,1,1
Player 604,561,-714.43,172.79,17.279,0,0,17.28,-127.3493761,-124.2691622,0.024187114,0,0,0,0
Player 605,560,-318.67,72.65,7.265,0,0,7.27,-56.90535714,-55.60714286,0.022813569,0,0,0,0
Player 606,559,-203.85,100.46,10.046,0,0,10.05,-36.46690519,-34.66905188,0.049300957,0,0,0,0
Player 607,557,74.23,95.89,9.589,0,0,9.59,13.32675045,15.04847397,0.129193049,1,1,1,1
Player 608,556,-46.41,26.33,2.633,0,0,2.63,-8.347122302,-7.874100719,0.056668821,0,0,0,0
Player 609,555,-93.3,77.02,7.702,0,0,7.7,-16.81081081,-15.42342342,0.082529475,0,0,0,0
Player 610,554,-61.8,43.28,4.328,0,0,4.33,-11.15523466,-10.37364621,0.070064725,0,0,0,0
Player 611,553,-567.28,66,6.6,0,0,6.6,-102.5822785,-101.3887884,0.011634466,0,0,0,0
Player 612,551,149.06,71.32,7.132,0,0,7.13,27.05263158,28.34664247,0.047833087,1,1,1,1
Player 613,550,-103.53,30.59,3.059,0,0,3.06,-18.82363636,-18.26727273,0.02955665,0,0,0,0
Player 614,549,-474.77,70.47,7.047,0,0,7.05,-86.47905282,-85.19489982,0.014849295,0,0,0,0
Player 615,547,-486.96,42.55,4.255,0,0,4.26,-89.023766,-88.24497258,0.008748152,0,0,0,0
Player 616,546,-420.9,50.18,5.018,0,0,5.02,-77.08791209,-76.16849817,0.011926823,0,0,0,0
Player 617,544,-809.03,104.7,10.47,0,0,10.47,-148.71875,-146.7941176,0.012941424,0,0,0,0
Player 618,544,-306.47,74.18,7.418,0,0,7.42,-56.33639706,-54.97242647,0.024211179,0,0,0,0
Player 619,542,114.03,21.44,2.144,0,0,2.14,21.03874539,21.43357934,0.018766991,1,1,1,1
Player 620,541,84.16,60.36,6.036,0,0,6.04,15.55637708,16.6728281,0.071768061,1,1,1,1
Player 621,540,-226.54,80.56,8.056,0,0,8.06,-41.95185185,-40.45925926,0.035578706,0,0,0,0
Player 622,540,-52.5,40.06,4.006,0,0,4.01,-9.722222222,-8.97962963,0.076380952,0,0,0,0
Player 623,539,-152.95,36.88,3.688,0,0,3.69,-28.37662338,-27.69202226,0.024125531,0,0,0,0
Player 624,538,-48.29,146.33,14.633,0,0,14.63,-8.975836431,-6.256505576,0.302961276,0,0,0,0
Player 625,537,-236.5,82.73,8.273,0,0,8.27,-44.04096834,-42.5009311,0.034968288,0,0,0,0
Player 626,536,-617.95,59.84,5.984,0,0,5.98,-115.2891791,-114.1735075,0.009677158,0,0,0,0
Player 627,535,-241.15,42.42,4.242,0,0,4.24,-45.07476636,-44.28224299,0.017582418,0,0,0,0
Player 628,534,-615.27,49.5,4.95,0,0,4.95,-115.2191011,-114.2921348,0.008045248,0,0,0,0
Player 629,533,-52.03,25.47,2.547,0,0,2.55,-9.761726079,-9.283302064,0.049010186,0,0,0,0
Player 630,532,-206.64,50.19,5.019,0,0,5.02,-38.84210526,-37.89849624,0.024293457,0,0,0,0
Player 631,531,-319.08,50.5,5.05,0,0,5.05,-60.09039548,-59.1393597,0.015826752,0,0,0,0
Player 632,530,-435.31,129.11,12.911,0,0,12.91,-82.13396226,-79.69811321,0.029657026,0,0,0,0
Player 633,530,-363.21,62.83,6.283,0,0,6.28,-68.53018868,-67.34528302,0.017290273,0,0,0,0
Player 634,529,-33.67,60.85,6.085,0,0,6.09,-6.364839319,-5.213610586,0.180873181,0,0,0,0
Player 635,528,84.45,53.08,5.308,0,0,5.31,15.99431818,17,0.062877442,1,1,1,1
Player 636,527,-272.18,60.78,6.078,0,0,6.08,-51.64705882,-50.49335863,0.022338159,0,0,0,0
Player 637,526,-182.68,34.61,3.461,0,0,3.46,-34.73003802,-34.07224335,0.018940223,0,0,0,0
Player 638,525,-132.05,51.81,5.181,0,0,5.18,-25.15238095,-24.16571429,0.039227565,0,0,0,0
Player 639,524,-130.33,53.06,5.306,0,0,5.31,-24.8721374,-23.85877863,0.04074273,0,0,0,0
