,Hands,Result,Rake Paid
Player 302,1331,-1743.17,215.21
Player 303,1326,85.06,112.88
Player 304,1321,-27.46,110.53
Player 305,1314,88.84,218.97
Player 306,1307,-505.34,195.37
Player 307,1300,-141.14,56.96
Player 308,1294,287.42,77.94
Player 309,1290,-949.11,242.56
Player 310,1284,-35.2,94.43
Player 311,1280,-91.36,182.87
Player 312,1275,176.8,154.26
Player 313,1269,-297.14,74.87
Player 314,1262,-68.07,111.86
Player 315,1259,-66.27,78.86
Player 316,1253,-405.98,190.21
Player 317,1248,96.69,120.44
Player 318,1244,-515.56,63.68
Player 319,1241,-149.98,122.88
Player 320,1234,31.24,122.31
Player 321,1228,-439.32,90.85
Player 322,1223,-87.28,148.97
Player 323,1218,688.45,144.98
Player 324,1213,-608.49,190.75
Player 325,1209,-375.75,109.16
Player 326,1206,266.43,124.48
Player 327,1203,-451.27,196.03
Player 328,1200,-33.59,99.73
Player 329,1192,158.33,160.94
Player 330,1185,384.29,129.78
Player 331,1182,-1274.69,181.99
Player 332,1177,-395.86,111.01
Player 333,1173,-596.03,115.8
Player 334,1171,-398.37,121.04
Player 335,1167,-136.67,120.04
Player 336,1164,-219.08,149.74
Player 337,1159,-827.65,58.7
Player 338,1155,-116.96,101.31
Player 339,1151,-382.41,100.1
Player 340,1147,-349.72,140.92
Player 341,1143,-320.44,85.54
Player 342,1138,11.07,229.61
Player 343,1134,-312.72,90.45
Player 344,1131,-261.97,60.27
Player 345,1126,-478.87,90.94
Player 346,1123,-311.34,138.34
Player 347,1119,-994.26,146.16
Player 348,1116,-442.35,84.27
Player 349,1113,-324.71,139.89
Player 350,1109,-611.92,108.19
Player 351,1105,63.15,83.28
Player 352,1101,-210.71,117.77
Player 353,1097,-621.6,125.84
Player 354,1094,219.02,58.71
Player 355,1091,-11.09,189.49
Player 356,1086,-267.26,85.98
Player 357,1083,178.74,140.33
Player 358,1078,355.4,119.64
Player 359,1076,-555.56,78.34
Player 360,1072,-593.67,90.44
Player 361,1069,-474.77,152.86
Player 362,1065,151.65,64.55
Player 363,1062,189.74,64.08
Player 364,1055,-29,159.84
Player 365,1054,218.66,73.39
Player 366,1049,-262.16,98.44
Player 367,1047,-788.56,249.92
Player 368,1044,-860.62,158.94
Player 369,1041,186.48,124.89
Player 370,1037,-214.49,178.18
Player 371,1034,409,83.58
Player 372,1029,-67.45,78.49
Player 373,1026,284.5,66.96
Player 374,1021,-1659.52,179
Player 375,1019,85.76,91.56
Player 376,1015,446.83,111.56
Player 377,1013,145.67,79.8
Player 378,1010,166.89,111.16
Player 379,1008,-348.55,47.94
Player 380,1004,-504.69,158.75
Player 381,1001,-436.96,65.63
Player 382,997,-8.68,108.32
Player 383,995,122.68,79.94
Player 384,991,-6.78,118.84
Player 385,988,-168.65,32.49
Player 386,985,112.68,91.32
Player 387,982,-163.3,187.49
Player 388,979,-450.48,75.76
Player 389,974,33.05,92.84
Player 390,970,-472.48,104.93
Player 391,968,-753.48,136.49
Player 392,963,216.52,43.08
Player 393,959,-601.94,167.96
Player 394,957,-151.29,74.28
Player 395,952,-878.28,185.64
Player 396,949,-1228.65,180.25
Player 397,945,-34.83,97.02
Player 398,942,-310.24,88.15
Player 399,941,-1257.02,165.87
Player 400,938,-240.84,113.29
Player 401,936,-122.69,111.62
Player 402,930,-577.21,78.94
Player 403,928,-261.99,92.59
Player 404,925,-191.45,50.98
Player 405,924,-27.36,148.26
Player 406,922,-227.61,149.77
Player 407,918,-414.45,70.49
Player 408,915,270.05,66.65
Player 409,913,-729.05,137.07
Player 410,911,-122.65,86.88
Player 411,910,-293.12,47.66
Player 412,907,-72.14,89.75
Player 413,903,-908.39,219.47
Player 414,901,-348.8,71.82
Player 415,899,-463.77,92.12
Player 416,895,143.55,110.56
Player 417,892,-245.47,59.37
Player 418,890,-153.4,138.66
Player 419,888,-532.01,58.79
Player 420,885,-216.23,60.34
Player 421,880,-160.36,59.2
Player 422,879,-75.99,84.32
Player 423,877,170.51,33.13
Player 424,875,-544.95,138.49
Player 425,873,-109.22,44.01
Player 426,871,-63.77,47.52
Player 427,868,423.54,130.7
Player 428,867,-162.16,53.4
Player 429,864,-222.58,91.95
Player 430,863,-342.01,63.88
Player 431,860,-64.33,103.8
Player 432,858,-54.1,84.41
Player 433,855,-524.54,73.62
Player 434,852,-143.46,109.41
Player 435,850,54.78,62.48
Player 436,848,-166.02,174.14
Player 437,845,25.15,115.18
Player 438,843,-797.58,162.98
Player 439,842,-475.19,124.49
Player 440,838,-551.19,76.4
Player 441,836,-406.26,121.02
Player 442,834,-102.74,97.57
Player 443,832,-1458.7,198.01
Player 444,829,-487.43,157.73
Player 445,827,-15.09,80.52
Player 446,823,220.51,61.92
Player 447,822,-450.55,78.68
