Player,Hands,Result,RakePaid,FlatRB,winrate,Rbwinrate,Rbeffect,Reg,PlayerType,RBReg,RB_PlayerType
Player 359,1076,-555.56,78.34,15.668,-51.63197026,-50.17583643,0.028202174,0,0,0,1
Player 360,1072,-593.67,90.44,18.088,-55.37966418,-53.69235075,0.030468105,0,0,0,1
Player 361,1069,-474.77,152.86,30.572,-44.41253508,-41.55266604,0.064393285,0,0,0,1
Player 362,1065,151.65,64.55,12.91,14.23943662,15.45164319,0.085130234,1,1,1,1
Player 363,1062,189.74,64.08,12.816,17.86629002,19.07306968,0.067545062,1,1,1,1
Player 364,1055,-29,159.84,31.968,-2.748815166,0.281327014,1.102344828,0,1,1,1
Player 365,1054,218.66,73.39,14.678,20.74573055,22.13833017,0.067127047,1,1,1,1
Player 366,1049,-262.16,98.44,19.688,-24.9914204,-23.11458532,0.075099176,0,0,0,1
Player 367,1047,-788.56,249.92,49.984,-75.31614136,-70.54212034,0.063386426,0,0,0,1
Player 368,1044,-860.62,158.94,31.788,-82.4348659,-79.39003831,0.036936162,0,0,0,1
Player 369,1041,186.48,124.89,24.978,17.91354467,20.3129683,0.133944659,1,1,1,1
Player 370,1037,-214.49,178.18,35.636,-20.68370299,-17.24725169,0.166142944,0,0,0,1
Player 371,1034,409,83.58,16.716,39.55512573,41.17176015,0.040870415,1,1,1,1
Player 372,1029,-67.45,78.49,15.698,-6.554907677,-5.029348882,0.23273536,0,0,0,1
Player 373,1026,284.5,66.96,13.392,27.72904483,29.03430799,0.047072056,1,1,1,1
Player 374,1021,-1659.52,179,35.8,-162.5386876,-159.0323213,0.021572503,0,0,0,1
Player 375,1019,85.76,91.56,18.312,8.41609421,10.21315015,0.21352612,1,1,1,1
Player 376,1015,446.83,111.56,22.312,44.0226601,46.2208867,0.049933979,1,1,1,1
Player 377,1013,145.67,79.8,15.96,14.38005923,15.95557749,0.10956271,1,1,1,1
Player 378,1010,166.89,111.16,22.232,16.52376238,18.7249505,0.133213494,1,1,1,1
Player 379,1008,-348.55,47.94,9.588,-34.57837302,-33.62718254,0.027508249,0,0,0,1
Player 380,1004,-504.69,158.75,31.75,-50.26792829,-47.10557769,0.062909905,0,0,0,1
Player 381,1001,-436.96,65.63,13.126,-43.65234765,-42.34105894,0.030039363,0,0,0,1
Player 382,997,-8.68,108.32,21.664,-0.870611836,1.302306921,2.495852534,0,1,1,1
Player 383,995,122.68,79.94,15.988,12.32964824,13.93648241,0.130322791,1,1,1,1
Player 384,991,-6.78,118.84,23.768,-0.684157417,1.714228052,3.505604718,0,1,1,1
Player 385,988,-168.65,32.49,6.498,-17.06983806,-16.41214575,0.038529499,0,0,0,1
Player 386,985,112.68,91.32,18.264,11.43959391,13.29380711,0.162087327,1,1,1,1
